text,label,prelabel,notes
What injuries did the nuggets face ? Deandre Ayton being injured ? And people discount the raptors injury luck because they still had to go through a healthy bucks and sixers team in the East that were stacked.,take,take,
Why am I not surprised that someone from the fan base who voted Reaves as an all star also thinks wemby could be dpoy this year. Y’all must really love that espn hype,reaction,reaction,
"Lmfaooooo is that why Ant screams “AYE” every time there’s minimal contact? This victim complex is annoying, Ant gets a fair whistle.",take,take,
"hey here's a mavs fan here he has a place in the nba. the mavs just had him playing a role he's not equipped for. he's a good man-to-man defender and yes he is smart on rotations. he's just limited by length and lateral quickness. he's good really on 4s and smalle 3s. on offense, you really just want him to be a catch and shoot guy and an off-ball screene. his pump fake is okay but he needs to be smarter when he does it. he is not good at attacking closeouts.",breakdown,breakdown,
you think previous FMVPs cannibalized their team's players? LOL,reaction,reaction,
"I mean yeah, he wants that same +4FTA/g boost SGA did last year so he’s hollering for it. Dude was a guard keeping up in FTA with an MVP center, whistle loves the guy. Ant’s whistle has been great this year, especially in the past couple weeks. Love to see it, but I’m not gunna pretend like he doesn’t get coddled by the refs if he starts getting 11 a game over the course of a season",breakdown,breakdown,
"Villanueva averaged 16/7, Ramon Sessions averaged 12/6 assists, Ridnour averaged 11/5 assists and all of them played the whole season. That team didn’t even lose 50 games and the talent across the board was way lower back then. Not really a great point considering OP is clearly referring to the roster outside of Jokic, who still lead them to 48 wins A more apt comparison would actually be D-Wade that same year you mentioned, who carried the Heat to 43 wins despite all his other teammates being hurt/washed/Mario Chalmers. Lebron did something similar too, but he went 66-16 and at least had a he",breakdown,breakdown,
"It’s a classic case of new owner syndrome. Matt Ishbia buys the team and, like many new owners would, he wants to make a splash move, and he did, he signed KD. However, he couldn’t help himself but continue to want to make splashy big moves, so the Suns traded for Beal and chose not to sign depth.",breakdown,breakdown,
"He's at his best when he's both a high volume scorer and a high efficiency scorer. In 2024, scoring 28.5 on 37 minutes is not such a high volume. That's just 10% more than the 14th scorer (Tyrese Maxey). In 2014 he scored 55% more than the 14th scorer. I think that Jokic Giannis Luka Embiid (Healthy) Leonard (Healthy) and SGA are way above him. Then he's in a group with players who are aging (Steph, Lebron, PG isn't far behind either) or hasn't proved enough yet. I'd personnally pick Butler, Tatum and Davis over him, too. So, 10th at best. But, considering how reliable ""Mr. Unreliable"" is, I'd",breakdown,breakdown,
"I think LeBron still drives to the basket a lot, but the difference (especially with Giannis) is that LeBron tries to get layups instead of dunks now. Giannis goes up with force to just jam it home, whereas LeBron tries to go for a layup right at the rim instead. LeBron really only tries to dunk it if the defense fell asleep and he has an empty lane to just jam it. Giannis much more looks to dunk around and over guys than LeBron does, and I think that extra aggression gets rewarded more than just having a soft touch off the glass for a lay in does.",breakdown,breakdown,
"I agree that well have to see with the shooting. But to my biased eyes his form does look better, and the thing that really gives me confidence is he is shooting this well on nearly DOUBLE the attempts of his previous two years",breakdown,breakdown,"take vs breakdown: opinion on shooting, but 'double the attempts' is real load-bearing evidence -> breakdown"
"No it was purely about money. The salary cap rules at that time did not allow Cavs to go over the cap to resign him (because Boozer was a second round pick). So they let him out of the contract a year early, with the idea he would take the below market extension in exchange for being let out early. Instead he signed a huge contract (for the times) with the Jazz, and Cavs could not match because it would put them over the cap. This rule limiting resigning of second round picks was changed a few years later when Warriors lost Gilbert Arenas because they could not go over the cap to match his fre",breakdown,breakdown,
Not sure how the voting actually went but in Magic's rookie season he had 21.5/11.2/8.7 with 2.7 steals while Kareem had 33.4/13.6/3.2 with 4.6 blocks. The NBA wanted to give it to Kareem but he didn't play the last game and wasn't in the building(I think?) so they gave it to Magic instead. I would consider that pretty close. Another interesting one is when 4/11 voted for the losing team's best player to win the award. Iggy won with 16.3/5.8/4 but 4 of of the judges voted for LeBron who had 35.8/13.3/8.8 leading both teams in all major categories except blocks.,breakdown,breakdown,
"Tatum didn’t really make the playmaking leap til his 3rd year in 19/20. Before then, he rarely was running PnR and almost never initiated offense at Duke. He had a 12.5 AST% at Duke and had 2.5ish assists per 40 mins. Flagg, as a kid who turned 18 3 weeks ago, is averaging 3.7 asts per 40 and has almost double the AST% at 23.5. He’s initiated lots of offense for Duke and has demonstrated the ability to make quick reads and deliver the ball off of screens. He’s definitely better than Tatum was in college as a player maker. Now, Tatum was a more polished scorer for sure, though Flagg’s coming on",breakdown,breakdown,
"2019 Kawhi was better then 2009 Kobe, but 2001 Kobe was better IMO. It's weird because he continued to make all defense all those times after that so people don't quite seem to realize how much better Kobe was defensively in the three peat. In 2009 and 2010 he was basically never really taking on tough match ups with Ariza and Artest taking those. 2001 he was actually an insane defender, can even argue that he was better as good defensively as 2019 Kawhi (Kawhi peaked offensively that year, but himself had decline quite a bit on defense)",breakdown,breakdown,breakdown w/o numbers: detailed role/film reasoning on Kobe's defense -> breakdown (evidence is observational)
"Not really. The most you can argue about him is that he isnt especially good at anything besides scoring. But given how the whole point of the game is to score points and this man is arguably the best in the league at doing that...yeah he is dam good. There aint really a weakness in his game. As a playmaker, he is average. 5.9 assists with 2.8 tos. As a rebounding guard, he is excelent. 5.5, with 0.8 of them being offensive. Which is dam good for a guard. He still gets 2 steals a game, but now he also gets 1.2 blocks a game. Showing that he does hustle on defense. His 3 point % is average, but",breakdown,breakdown,
"who could have challenged Curry's MVP in that season That's the question you asked me, in response to me, talking to someone else?? I'm telling you that wasn't my topic or my point?? I mean Curry having an all time supporting cast doesn't diminish his success, nor does it diminishes SGA's success for having a solid supporting cast. This is all I'm saying. We literally agree, dude. while in Curry's 2016 case he was the only one deserving of the 1 spot, there was no doubt that he is the 1. Right. There are differences within a comparison. So if hypothetically, Jokic had this same season in 2016,",take,take,
"Ant and KAT never had a 2 man game develop over the past 4 years. They had time to develop but never had chemistry. Naz is much cheaper and gives us 80-85% of KAT. Look at the Nuggets, only one all star. the bet was Ant will grow to be a top 3 player in the league. He has improved every year. Nothing has shown us differently. Our core, if retained, has Ant, Jaden, Naz, NAW, Rob, Clark, and even Donte who will be around for the foreseeable future and is just entering his prime.",take,take,
"Did you know ring culture wasn’t a thing until around 2010? Yeah, in the 90s Big O, Bill, and Wilt were the names that were in the goat debate. Today Big O isn’t even in most people’s top 10. Wilt and Bill has fallen behind people they were once ahead of. In the top 10 list, Lebron probably started with probably the worst team among them. 17-65 team, out of the whole team the only award that roster got was 1AS, the following year no one aside from Lebron got any award. Kareem’s probably the next closest, but he got Big O by like year 3.",breakdown,breakdown,
Mikans time it was MUCH harder to play. No crossover. No palming No gather step. No flagrant foul Strict rules for AST. No 3pt line. 1 FT per foul Strict rules for offensive foul. While today's players have never been more skilled the definition of skill has been changed. Given today's rules the players then would be unshackled. In the reverse today's players would be hobbled.,breakdown,breakdown,
Bron cut back on FG attempts by the hoop in the last season or two. Before he was top 3 in attempts by the hoop and around 30th in FT attempts. Most of the Lakers seasons. I didn’t look before the Lakers.,breakdown,breakdown,
"I get them [here]( It takes a moment to load the stats. I like using the last two or three seasons to really get a decent sample size. Table Data set to Free Throw Source, sort by 2pt and 1s descending, then for a player you wanna check, just divide 2pt and 1s over 2pt SFD, then multiply by 100 to get a percentage of how often they score on a shooting foul. As of today's data, over the last three seasons, here are rates of some of the dudes people like to talk about, positively and negatively, in no particular order - Embiid - 19.7% SGA - 22.6% Maxey - 30.9% Brunson - 32.6% Jokic - 33.0% Luka ",breakdown,breakdown,
"Those 10 players are either hurt (Ingram, Dick, Mogbo, Walter, Chomche), nursing an injury (IQ), having a day off for the anniversary of his late brother (RJ), or playing with inquiries and are questionable (Scottie + Ocahi). That isn't close to sitting out 10 guys for rest lmfao.",breakdown,breakdown,"reaction vs breakdown: looks like a list, but factually rebuts 'rested 10 guys' with each player's status -> breakdown"
"To be fair, DeMar has become a much better shooter since leaving the Raps. With Toronto, 1/5 shots were mid 2s (10-16 ft), and he was 43%; almost 1/3 of his shots were long 2s outside of 16 feet, and he shot 38% on them. Since leaving Toronto he's cut that long 2 down to 1/4 of his shots, and he's at 44%. If you limit it to his time since moving to CHI, he's over 50% on the long and mid 2.",breakdown,breakdown,
"Problem is that KAT becomes less valuable as an offensive player when he's at the 4. He really might be the best shooting 5 of all time, but at the 4 he doesn't take a high enough volume to really separate himself from what's pretty common in the league now.",take,take,
"Right the point is that there are multiple players who have an argument for GOAT peak. No one has anybody as the GOAT who doesn’t have an argument for GOAT peak - what you’re referring to doesn’t actually happen. The idea that there’s been some player who, at their best, was way better than everybody else at their best… just isn’t really true. A lot of what creates difference between those top players is how long they maintained their highest level of play, how translatable and scalable people think it is, etc.",take,take,
"PG's biggest flaw is that he is not a leader and takes no accountability. Worse yet, he doesn't seem to care. There's always an excuse and he doesn't seemed phased by losing. Just a total lack of passion or drive to not only succeed, but excel. And sadly the 76ers just don't have the level headed vets to keep all the personalities in line and to mission statement.",take,take,
I think there's a decent argument to be made that 2016-2017 Towns might have been the best offensive big. Embiid rookie season coming off injury. Jokic 3rd season. AD and Cousins scored more but on lower efficiency. Meanwhile KAT put up 25 ppg on over 56% efg.,breakdown,breakdown,
In the month of April leading into the playoff he shot 51.2% from 3 including games against the suns x2 lakers kings and warriors and Orlando. Just say you’re talking out your ass and move on dude.,breakdown,breakdown,
Barkley Is one of the all time awful defensive players and he played the second most important defensive position. It wasn’t just Size he had awful awareness and iq on defense. Great offensively but if he didn’t suck ass on D he’d probably have a title,take,take,
"Miami's offense sucks today. Bam and Herro just not hitting their shots when they have good looks at the basket, and some of their 3s are going in and out. They aren't playing bad, but they're constantly going 1 and done. Their defense has stopped a lot of Boston's offense on the perimeter, but it's too late now. That 2nd quarter really killed them",take,take,
"Why do you even try argue with that guy lol He just understands 0 of bb . Teams don’t even go inside when they see he is on the paint rofl . Ofc the guy is top5 right now if he had a better team, he would win a chip .",take,take,
"That’s a very big IF. Efficiency always comes down with more shots taken so you can’t just assume that if he takes 6 more 3s a game that he’d sustain the same efficiency. Curry is a career 42,5% 3pt shooter while taking 9,2 attempts a game while Reggie is a career 39,5% 3pt shooter with only 4,7 attempts a game. That’s night and day difference and there really is no argument for Reggie to be a better shooter than Curry. A much higher percentage of Reggie’s shots were open than Curry’s so that’s also something to keep in mind.",breakdown,breakdown,
"I mean, yes it’s good that it was the most watched Christmas game in 5 years but 8 million viewers is still not great when college football games are getting more views. For reference, Ohio State-Tennessee got 13 million viewers last Saturday during the same time slot on ESPN",breakdown,breakdown,
"I don’t believe they give them a cut of ad revenue. They pay the leagues a contractually-negotiated annual fee for broadcast rights, and then the network (ESPN in this case), uses advertising revenue (as well as additional revenue sources) to recoup the money they spent on the broadcast rights.",breakdown,breakdown,
Yea then you should have a good grip on how the heat are going nowhere those year because Jimmy Butler is not bringing value anymore. He was never really that good to begin with. Good size and some decent effort on defense but he needs to play linebacker on offense and flop for fouls to do any positive on offense. Any stats or info that I might be missing would be interesting to hear.,take,take,
"honestly rank nfl players differently than basketball players. Travis Kelce basically plays a different sport than someone like Lawrence Taylor. It is so hard to rank them against each other. NBA players all play the exact same sport though so it’s easier to judge. Being top 2 at your position in NFL history is more impressive to me than a top 40 NBA player. If we’re being realistic, the top 40 NFL players based on actual value to their teams are all QBs, but Lawrence Taylor and Bo Jackson are seen as all time greats of the sport still",take,take,
"McDaniels isn't on a max deal and has 4 years left on his current deal. Naz will not get anywhere close to a max contract offer. So, while you're technically check that the Wolves can't pay all four man money, we will never have to be in that position anyways",breakdown,breakdown,
"""Invading the space that Luka had the right to""? Bro, the defender established himself in that space by being the first one there. If Luka wasn't so fat and slow he would've been there first. He wasn't. The person who owns that space is the one who is there first. Just like when establishing a charge vs blocking foul.",take,take,
People are gonna talk about Luka's 38 points but he has been abysmal when the Lakers need him the most. He gets excused for being sick last game but imo.. You can't get away with abysmal in any circumstance. You gotta make SOME PLAYS in clutch time. You can't just be out there playing negative defense and negative offense.,take,take,
